Course Title,Rating
Scrum Master Specialization,5.0
Compromiso del paciente: resultados clínicos satisfactorios Specialization,5.0
Road to the CISO – Culminating Project Course,5.0
Uncommon Sense Teaching: Teaching Online,5.0
Global Health Challenges and Governance Specialization,5.0
Exploring Beethoven's Piano Sonatas Part 5,5.0
Circuitos con SPICE: Fundamentos de los circuitos eléctricos,5.0
Rapid Prototyping and Tooling Specialization,5.0
Exploring Beethoven’s Piano Sonatas Part 2,5.0
Uncommon Sense Teaching Specialization,5.0
